,Title,Desc_of_movies
221,Alarmoty in the Land of Fire ," While vacationing at a resort, an ornery and outspoken man is held captive by a criminal organization."
222,Albert Pinto Ko Gussa Kyun Aata Hai? ,"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society."
223,Alejandro Riaño: Especial de stand up ,"Colombian comedian Alejandro Ria&ntilde;o discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogot&aacute; men and soccer game announcers."
224,Alejandro Sanz: What I Was Is What I Am ,A retrospective look at the life and career of Grammy-award winning Spanish musician Alejandro Sanz.
225,Alex Fernández: The Best Comedian in the World ,Comic Alex Fernández performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.
226,Alex Strangelove ,High school senior Alex Truelove's plan to lose his virginity to lovable girlfriend Claire goes awry when he meets the equally lovable Elliot.
227,Alexa & Katie ," Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school -- and ready for whatever comes next."
228,Alexandria ... Why? ,"Living in Alexandria during World War II, an Egyptian teen enamored with American films dreams of making it in Hollywood."
229,"Alexandria: Again and Forever (Iskanderija, kaman oue kaman) ","At the peak of his career, Yehia joins a hunger strike, becomes smitten and reckons with a creative crisis -- but finds a new muse."
230,Alexis Viera: A Story of Surviving ,"After being shot during a robbery in Colombia and losing sensation in his legs, Uruguayan soccer star Alexis Viera finds a new sense of purpose."
231,Ali & Alia ,Drugs and addiction endanger the love -- and lives -- of two childhood sweethearts struggling to survive the perils of a precarious world.
232,Ali Baba ve 7 Cüceler (Ali Baba and the 7 Dwarfs) ," A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss."
233,Ali G Indahouse , Wannabe gangsta rapper Ali G takes a stand against the demolition of his beloved John Nike Leisure Centre and gets elected to Parliament.
234,Ali Wong: Baby Cobra ,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible."
235,Ali Wong: Hard Knock Wife ,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump -- and a torrent of hilarious truths about marriage and motherhood."
236,Ali's Wedding ,"After telling a white lie that spins out of control, the son of an Iraqi-born cleric in Melbourne becomes torn between family duty and his own heart."
237,"Alias JJ, la celebridad del mal (Alias JJ, The Celebrity of Evil) ","Witnesses and public figures respond to controversial claims about Pablo Escobar made by the Medell&iacute;n Cartel's sole survivor, John Jairo Vel&aacute;squez."
238,Alibaba Aur 40 Chor ,A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.
239,Alice Junior ,"In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss."
240,Alien Warfare ,The U.S. Navy Seal team tackles a top-secret mission at a research center where scientists have mysteriously disappeared and another life form awaits.
241,#Alive ,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
242,All About Love ,An inseparable couple struggles to stay together when betrayal threatens to tear their lives apart.
243,All About the Washingtons ,"Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos."
244,All Because of You (Pasal Kau) ,"After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place."
245,All Day and a Night ,"While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime."
246,All Good Ones Get Away (An Affair to Die For) ,"When a mysterious figure blackmails an adulterous couple during a romantic getaway, their secret affair turns into a fight for survival."
247,All Hallows' Eve ,"Instead of summoning the spirit of her dearly departed mother, a charming teen accidentally awakens a vengeful witch who wants to destroy her town."
248,All In My Family ,"After starting a family of his very own in America, a gay filmmaker documents his loving, traditional Chinese family's process of acceptance."
249,All Is Well (Alles ist gut) ,"A woman sexually assaulted by her new boss's brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body."
250,All Light Will End ,"A horror novelist with a traumatic past returns to her childhood hometown, where she revisits her night terrors and loses sight of reality."
251,All of You ,"Two strangers meet on a dating app and experience instant chemistry, but their relationship unravels as jarring differences catch up to them."
252,All Saints ,"Based on a true story, a pastor is burdened with shutting down a struggling church until he meets refugees who have an idea to save it."
253,All The Bright Places ,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.
254,All the Devil's Men ,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.
255,All the Freckles in the World (Todas las pecas del mundo) ,Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.
256,All the Money in the World ,"When the grandson of oil magnate J. Paul Getty is kidnapped in Rome, his mother must fight her billionaire father-in-law to pay for his safe return."
257,All The Reasons To Forget (Todas As Razões Para Esquecer) ,A Brazilian man tries a myriad of ways to get over his breakup with his girlfriend but is surprised to learn it's more difficult than he anticipated.
258,All Together Now ,"An optimistic, talented teen clings to a huge secret: She's homeless and living on a bus. When tragedy strikes, can she learn to accept a helping hand?"
259,"All's Well, End's Well  (Ga yau hei si 2009) ","Bound by a family rule that forbids him from marrying until his stubborn sister gets hitched, a bachelor enlists the help of a love guru to woo her."
260,Almost Love ,A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.
261,Aloha ,"Returning to Hawaii for a satellite launch, a defense contractor quickly develops feelings for both his former flame and his alluring military escort."
